IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
13.125.218.78,443,true,ICN,Asia Pacific,Seoul,113 ms,14937 kB/s
3.101.110.90,80,true,SJC,North America,San Jose,175 ms,6034 kB/s
13.53.51.77,8080,true,ARN,Europe,Stockholm,209 ms,5046 kB/s
99.83.209.185,443,true,IAD,North America,Ashburn,102 ms,4457 kB/s
13.53.81.150,2083,true,ARN,Europe,Stockholm,194 ms,4441 kB/s
13.40.128.14,8443,true,LHR,Europe,London,176 ms,3566 kB/s
13.50.173.22,8443,true,ARN,Europe,Stockholm,202 ms,3449 kB/s
204.110.220.34,80,true,PDX,North America,Portland,212 ms,3265 kB/s
204.110.223.167,80,true,CMH,North America,Columbus,228 ms,2916 kB/s
13.53.54.176,8080,true,ARN,Europe,Stockholm,203 ms,2856 kB/s
15.156.203.151,8443,true,DFW,North America,Dallas,248 ms,2422 kB/s
13.41.76.64,8080,true,LHR,Europe,London,183 ms,2256 kB/s
13.53.132.96,8080,true,ARN,Europe,Stockholm,199 ms,908 kB/s
204.110.223.199,80,true,CMH,North America,Columbus,225 ms,518 kB/s
13.51.55.184,2053,true,ARN,Europe,Stockholm,205 ms,348 kB/s
3.98.54.22,8443,true,YUL,North America,Montréal,243 ms,275 kB/s
35.167.93.200,443,true,PDX,North America,Portland,214 ms,236 kB/s
13.201.221.231,443,true,BOM,Asia Pacific,Mumbai,311 ms,172 kB/s
18.135.188.86,443,true,LHR,Europe,London,204 ms,147 kB/s
44.227.22.10,443,true,PDX,North America,Portland,208 ms,112 kB/s
50.112.166.63,443,true,PDX,North America,Portland,222 ms,99 kB/s
204.110.223.86,80,true,CMH,North America,Columbus,227 ms,99 kB/s
18.189.94.250,443,true,CMH,North America,Columbus,227 ms,83 kB/s
15.156.17.176,8443,true,YUL,North America,Montréal,249 ms,54 kB/s
15.157.7.168,443,true,DFW,North America,Dallas,255 ms,51 kB/s
3.99.106.179,443,true,DFW,North America,Dallas,249 ms,42 kB/s
3.111.155.29,443,true,BOM,Asia Pacific,Mumbai,308 ms,34 kB/s
3.98.73.243,443,true,DFW,North America,Dallas,261 ms,30 kB/s
18.189.139.61,443,true,ORD,North America,Chicago,221 ms,0 kB/s
﻿IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
124.199.33.104,22672,true,KIX,Asia Pacific,Osaka,160 ms,1168 kB/s
124.80.20.114,30059,true,ICN,Asia Pacific,Seoul,272 ms,604 kB/s
124.80.20.114,25177,true,NRT,Asia Pacific,Tokyo,291 ms,537 kB/s
117.123.72.132,19374,true,KIX,Asia Pacific,Osaka,482 ms,390 kB/s
124.80.75.68,26658,true,NRT,Asia Pacific,Tokyo,133 ms,112 kB/s
124.80.75.68,15772,true,NRT,Asia Pacific,Tokyo,152 ms,109 kB/s
124.80.75.68,35810,true,NRT,Asia Pacific,Tokyo,134 ms,102 kB/s
124.80.75.68,12654,true,KIX,Asia Pacific,Osaka,175 ms,96 kB/s
124.80.75.68,39658,true,NRT,Asia Pacific,Tokyo,161 ms,89 kB/s
124.80.75.68,25346,true,NRT,Asia Pacific,Tokyo,150 ms,0 kB/s
﻿IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
141.148.242.113,8443,true,AMS,Europe,Amsterdam,288 ms,3272 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,289 ms,3221 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,287 ms,3215 kB/s
129.146.168.102,443,true,LAX,North America,Los Angeles,253 ms,3170 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,259 ms,2908 kB/s
129.153.126.67,443,true,LAX,North America,Los Angeles,261 ms,2884 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,287 ms,2814 kB/s
129.146.134.77,443,true,LAX,North America,Los Angeles,241 ms,2706 kB/s
