IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.14.71,3,3,0.00,57.06,6.93
162.159.142.179,3,3,0.00,56.60,6.70
172.67.13.173,3,3,0.00,57.98,6.46
104.19.216.32,3,3,0.00,57.19,6.36
162.159.80.127,3,3,0.00,56.23,6.19
172.67.15.84,3,3,0.00,58.17,6.13
104.17.201.173,3,3,0.00,55.94,6.10
104.17.71.122,3,3,0.00,55.57,6.06
162.159.143.78,3,3,0.00,54.90,6.05
104.25.251.27,3,3,0.00,57.21,5.79
104.25.248.60,3,3,0.00,57.70,5.75
162.159.152.54,3,3,0.00,54.26,4.43
162.159.133.66,3,3,0.00,53.93,1.78
162.159.128.58,3,3,0.00,48.02,1.47
162.159.140.137,3,3,0.00,48.25,1.17
162.159.138.68,3,3,0.00,49.23,0.85
162.159.136.154,3,3,0.00,49.48,0.67
162.159.135.130,3,3,0.00,50.93,0.25
162.159.129.179,3,3,0.00,52.44,0.12
162.159.130.146,3,3,0.00,51.59,0.06
162.159.141.146,3,3,0.00,51.35,0.03
162.159.134.152,3,3,0.00,51.95,0.03
162.159.137.143,3,3,0.00,52.43,0.02
162.159.153.170,3,3,0.00,50.20,0.00
172.64.232.181,3,3,0.00,52.22,0.00
